team,med.scr,mn.scr,sd.scr
49ers,5,5.78,2.472
Bears,11,10.91,3.205
Bengals,8,9.19,2.732
Bills,28,27.75,2.424
Broncos,2,2.13,0.545
Browns,28,27.94,2.915
Buccaneers,22.5,22.41,4.286
Cardinals,13,13.19,2.963
Chargers,11,10.66,2.04
Chiefs,13.5,13,3.152
Colts,9,9.72,2.589
Cowboys,20.5,20.34,3.068
Dolphins,20,19.94,2.947
Eagles,8,8.56,2.106
Falcons,19.5,19.75,3.889
Giants,20.5,20.66,3.406
Jaguars,31,30.56,1.116
Jets,21.5,21.53,3.758
Lions,16,16.53,3.092
Packers,6,6.78,3.1
Panthers,10,10.41,4.069
Patriots,4,3.78,0.892
Raiders,32,30.88,1.728
Rams,24,24.06,4.031
Ravens,15,15.34,3.894
Redskins,24.5,23.91,3.404
Saints,4,4.16,1.439
Seahawks,1,1.16,0.565
Steelers,19,18.38,4.649
Texans,26.5,26.63,3.248
Titans,26,25.41,3.715
Vikings,28,26.97,2.942
