"team","med.scr","mn.scr","sd.scr"
"49ers",12,12.23,2.959
"Bears",11,11.39,2.21
"Bengals",2,2.06,0.84
"Bills",17,16.65,2.979
"Broncos",3,3.03,1.282
"Browns",23,22.52,2.227
"Buccaneers",32,31.68,0.467
"Cardinals",5,5.06,2.169
"Chargers",6,5.65,1.676
"Chiefs",22,22.13,2.948
"Colts",12,12.42,3.875
"Cowboys",19,19.55,2.447
"Dolphins",22,22.45,2.792
"Eagles",5,5.06,1.435
"Falcons",11,11.94,3.627
"Giants",25,25.29,2.128
"Jaguars",31,31.1,0.689
"Jets",23,22.65,2.695
"Lions",11,11.23,2.825
"Packers",14,13.48,3.33
"Panthers",9,9.39,2.21
"Patriots",7,7.84,3.313
"Raiders",30,29.84,1.167
"Rams",29,28.65,1.77
"Ravens",15,14.19,3.126
"Redskins",25,24.52,3.582
"Saints",14,14.19,4.043
"Seahawks",1,1.71,1.022
"Steelers",17,16.45,2.96
"Texans",21,21.68,4.067
"Titans",26,25.42,2.24
"Vikings",27,26.58,2.012
