team,color1,color2,color3,color4,color5
49ers,#E6BE8A,#AF1E2C,,,
Bears,#DD4814,#03202F,,,
Bengals,#FB4F14,#000000,,,
Bills,#00338D,#C60C30,,,
Broncos,#FB4F14,#002244,,,
Browns,#26201E,#E34912,,,
Buccaneers,#89765F,#D3A205,#D60A0B,,
Cardinals,#9B2743,#000000,#FFFFFF,,
Chargers,#0072CE,#FFB81C,#0C2340,,
Chiefs,#B20032,#F2C800,,,
Colts,#003B7B,#FFFFFF,,,
Cowboys,#0D254C,#C5CED6,#FFFFFF,,
Dolphins,#008D97,#F5811F,,,
Eagles,#003B48,#D3A205,#708090,#C0C0C0,
Falcons,#BD0D18,#D3A205,,,
Giants,#192F6B,#CA001A,#A2AAAD,#FFFFFF,
Jaguars,#D7A22A,#9F792C,#000000,#006778,#FFFFFF
Jets,#0C371D,#FFFFFF,,,
Lions,#006DB0,#C5C7CF,#000000,#FFFFFF,
Packers,#203731,#FFB612,,,
Panthers,#0088CE,#D3A205,#A5ACAF,,
Patriots,#C80815,#0D254C,#D6D6D6,#FFFFFF,
Raiders,#000000,#C4C8CB,,,
Rams,#13264B,#C9AF74,,,
Ravens,#280353,#000000,#D0B240,,
Redskins,#773141,#FFB612,#FFFFFF,,
Saints,#D2B887,#D3A205,,,
Seahawks,#69BE28,#002244,#A5ACAF,,
Steelers,#FFB612,#000000,#FFFFFF,,
Texans,#B31B34,#02253A,,,
Titans,#648FCC,#0D254C,,,
Vikings,#3B0160,#F0BF00,,,
