"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"Philadelphia","1","0","0","1.000","1-0","0-0","0-0","0-0","34","17","+17","Won 1"
"Washington","0","1","0",".000","0-0","0-1","0-0","0-0","6","17","-11","Lost 1"
"Dallas","0","1","0",".000","0-1","0-0","0-0","0-1","17","28","-11","Lost 1"
"NY Giants","0","1","0",".000","0-0","0-1","0-0","0-1","14","35","-21","Lost 1"
"Minnesota","1","0","0","1.000","0-0","1-0","0-0","1-0","34","6","+28","Won 1"
"Detroit","1","0","0","1.000","1-0","0-0","0-0","1-0","35","14","+21","Won 1"
"Green Bay","0","1","0",".000","0-0","0-1","0-0","0-1","16","36","-20","Lost 1"
"Chicago","0","1","0",".000","0-1","0-0","0-0","0-0","20","23","-3","Lost 1"
"Atlanta","1","0","0","1.000","1-0","0-0","1-0","1-0","37","34","+3","Won 1"
"Carolina","1","0","0","1.000","0-0","1-0","1-0","1-0","20","14","+6","Won 1"
"New Orleans","0","1","0",".000","0-0","0-1","0-1","0-1","34","37","-3","Lost 1"
"Tampa Bay","0","1","0",".000","0-1","0-0","0-1","0-1","14","20","-6","Lost 1"
"Seattle","1","0","0","1.000","1-0","0-0","0-0","1-0","36","16","+20","Won 1"
"San Francisco","1","0","0","1.000","0-0","1-0","0-0","1-0","28","17","+11","Won 1"
"Arizona","1","0","0","1.000","1-0","0-0","0-0","0-0","18","17","+1","Won 1"
"St. Louis","0","1","0",".000","0-1","0-0","0-0","0-1","6","34","-28","Lost 1"
"Miami","1","0","0","1.000","1-0","0-0","1-0","1-0","33","20","+13","Won 1"
"NY Jets","1","0","0","1.000","1-0","0-0","0-0","1-0","19","14","+5","Won 1"
"Buffalo","1","0","0","1.000","0-0","1-0","0-0","0-0","23","20","+3","Won 1"
"New England","0","1","0",".000","0-0","0-1","0-1","0-1","20","33","-13","Lost 1"
"Pittsburgh","1","0","0","1.000","1-0","0-0","1-0","1-0","30","27","+3","Won 1"
"Cincinnati","1","0","0","1.000","0-0","1-0","1-0","1-0","23","16","+7","Won 1"
"Cleveland","0","1","0",".000","0-0","0-1","0-1","0-1","27","30","-3","Lost 1"
"Baltimore","0","1","0",".000","0-1","0-0","0-1","0-1","16","23","-7","Lost 1"
"Houston","1","0","0","1.000","1-0","0-0","0-0","0-0","17","6","+11","Won 1"
"Tennessee","1","0","0","1.000","0-0","1-0","0-0","1-0","26","10","+16","Won 1"
"Indianapolis","0","1","0",".000","0-0","0-1","0-0","0-1","24","31","-7","Lost 1"
"Jacksonville","0","1","0",".000","0-0","0-1","0-0","0-0","17","34","-17","Lost 1"
"Denver","1","0","0","1.000","1-0","0-0","0-0","1-0","31","24","+7","Won 1"
"Oakland","0","1","0",".000","0-0","0-1","0-0","0-1","14","19","-5","Lost 1"
"Kansas City","0","1","0",".000","0-1","0-0","0-0","0-1","10","26","-16","Lost 1"
"San Diego","0","1","0",".000","0-0","0-1","0-0","0-0","17","18","-1","Lost 1"
