city.name,team.name,conference,division
Philadelphia,Eagles,NFC,East
Washington,Redskins,NFC,East
Dallas,Cowboys,NFC,East
NY Giants,Giants,NFC,East
Minnesota,Vikings,NFC,North
Detroit,Lions,NFC,North
Green Bay,Packers,NFC,North
Chicago,Bears,NFC,North
Atlanta,Falcons,NFC,South
Carolina,Panthers,NFC,South
New Orleans,Saints,NFC,South
Tampa Bay,Buccaneers,NFC,South
Seattle,Seahawks,NFC,West
San Francisco,49ers,NFC,West
Arizona,Cardinals,NFC,West
St. Louis,Rams,NFC,West
Miami,Dolphins,AFC,East
NY Jets,Jets,AFC,East
Buffalo,Bills,AFC,East
New England,Patriots,AFC,East
Pittsburgh,Steelers,AFC,North
Cincinnati,Bengals,AFC,North
Cleveland,Browns,AFC,North
Baltimore,Ravens,AFC,North
Houston,Texans,AFC,South
Tennessee,Titans,AFC,South
Indianapolis,Colts,AFC,South
Jacksonville,Jaguars,AFC,South
Denver,Broncos,AFC,West
Oakland,Raiders,AFC,West
Kansas City,Chiefs,AFC,West
San Diego,Chargers,AFC,West
